Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2015-03-24,2603804,254624,376500,240032,356365,313080,178123
2015-03-31,2633998,266969,397480,223709,353667,322425,159058
2015-04-07,2634784,260298,401911,213984,353884,338635,126264
2015-04-14,2669816,302091,460710,201624,359313,341529,109973
2015-04-21,2582455,289321,467152,182744,380629,342276,74662
2015-04-28,2585231,282567,459428,188147,387222,336378,78247
2015-05-05,2664289,301294,469828,187195,406664,332044,63881
2015-05-12,2646251,303240,473024,195615,407487,315548,52973
2015-05-19,2277777,251349,416302,192522,411590,313146,69093
2015-05-26,2282087,250666,417320,190781,402999,310052,64925
2015-06-02,2361865,255628,417099,186636,405217,303942,59316
2015-06-09,2350383,249120,408328,189015,396152,294157,58637
2015-06-16,2374660,265881,422280,167579,385185,293469,56127
2015-06-23,2347130,254033,407697,167160,385307,295400,61127
2015-06-30,2382264,260766,415545,173403,384781,283673,67521
2015-07-07,2471666,257708,394073,194600,373336,278847,105121
2015-07-14,2513617,267804,400257,198197,357841,256779,109574
2015-07-21,2392260,250017,375611,200831,360089,243417,137034
2015-07-28,2483834,265350,383150,200927,358280,250702,151769
2015-08-04,2583774,282347,400517,195969,352007,260866,148646
2015-08-11,2598600,234469,362769,202696,343257,262862,163114
2015-08-18,2455731,240610,370091,209908,335152,252044,158638
2015-08-25,2558925,234185,364076,199654,330791,256270,157094
2015-09-01,2619781,231794,362904,202484,328284,252087,136085
2015-09-08,2624716,250091,383924,200190,330540,258339,125482
2015-09-15,2618114,260435,402516,191155,329595,258591,110913
2015-09-22,2435709,224531,381187,190078,322524,274290,104898
2015-09-29,2459756,234768,400632,185511,318425,266678,112764
2015-10-06,2534662,249031,420328,195044,322412,281037,108070
2015-10-13,2501950,275296,447169,176809,332786,274338,90021
2015-10-20,2406985,236693,422549,182565,321123,274718,106517
2015-10-27,2500495,244259,429359,191598,311118,274855,131564
2015-11-03,2516868,231620,430293,202208,301372,286221,114169
2015-11-10,2500995,235204,441127,194583,294129,282789,137935
2015-11-17,2215278,192380,398016,216449,280680,275013,154181
2015-11-24,2223349,185241,395000,232036,270726,260623,164102
2015-12-01,2256875,196876,405573,224084,265562,262677,171914
2015-12-08,2381393,200960,414646,221991,254654,262323,181849
2015-12-15,2370334,190182,402333,215898,248877,262379,166625
2015-12-22,2256060,188112,398229,217356,239892,259181,172258
2015-12-29,2248629,192983,404443,215229,231385,258356,157559
2016-01-05,2335212,202559,415256,208275,221387,252010,175076
2016-01-12,2537432,217708,441970,222837,216185,270730,200975
2016-01-19,2400004,212634,439204,191017,210786,266150,184193
2016-01-26,2514223,235324,479383,187619,203051,289181,178749
2016-02-02,2668381,272278,510107,174803,206981,301232,196048
2016-02-09,2717026,262337,513879,187006,207124,302384,191897
2016-02-16,2715315,235745,480787,214040,203612,286238,189069
2016-02-23,2440258,220527,477175,220906,219828,286911,176357
2016-03-01,2471769,210239,482340,225509,213104,286158,150718
2016-03-08,2547472,225547,504552,222258,240710,287434,112485
2016-03-15,2527001,220487,489441,200920,256143,294417,89866
2016-03-22,2433766,202842,488831,197635,261570,300261,64431
2016-03-29,2446025,218032,506601,186445,259394,296614,75598
2016-04-05,2511694,220255,505478,194319,257069,296892,102119
2016-04-12,2634555,228822,509495,212873,264549,299129,83499
2016-04-19,2449693,208052,502867,181197,271410,313575,67588
2016-04-26,2496621,225944,512884,177583,279779,312038,62915
2016-05-03,2564723,242779,528699,180265,277690,300597,63808
2016-05-10,2561881,269952,548738,196787,276086,300240,83719
2016-05-17,2401542,249711,533527,195023,298773,310975,63979
2016-05-24,2382660,225718,500019,178008,287419,302860,60932
2016-05-31,2454329,246870,523637,175515,284480,294105,53377
2016-06-07,2538950,249047,519352,182135,286723,311170,77701
2016-06-14,2570051,249231,515579,175438,288131,288166,96677
2016-06-21,2461218,238041,504502,185772,290112,299824,86749
2016-06-28,2457028,257231,518533,188318,278186,288961,109531
2016-07-05,2496120,264284,525161,180129,273505,288220,118721
2016-07-12,2492344,270917,533727,195411,273151,294005,113536
2016-07-19,2373401,243151,496363,188209,271464,298041,141237
2016-07-26,2447227,256386,508911,194156,267498,300690,180134
2016-08-02,2593277,283800,525154,194886,269659,305440,218623
2016-08-09,2623436,305727,551272,232009,268915,322594,220139
2016-08-16,2683185,318105,587874,220057,260188,323059,163232
2016-08-23,2513387,286049,565533,186045,280355,341087,96985
2016-08-30,2535720,322360,591428,172364,274279,315723,95320
2016-09-06,2621163,327724,587592,191369,264459,309767,130274
2016-09-13,2613455,327843,591102,165512,262772,305023,101079
2016-09-20,2517380,319702,572231,182268,255448,299104,151637
2016-09-27,2569305,323844,586100,184619,260460,323235,141783
2016-10-04,2672540,328986,592428,151461,280846,353162,98659
2016-10-11,2768466,331367,608261,143214,316526,359349,71407
2016-10-18,2596994,285472,559634,133853,314460,347808,56355
2016-10-25,2617278,292042,563544,129727,320900,324752,56563
2016-11-01,2654648,300741,556821,141883,318903,296654,62528
2016-11-08,2819007,347280,596455,184604,292323,304734,145319
2016-11-15,2922285,355576,623434,222584,291063,329252,165931
2016-11-22,2631684,323381,587706,206153,285037,351556,163232
2016-11-29,2685652,345312,613335,183063,286798,335219,146133
2016-12-06,2871631,392770,657487,141347,334971,350770,80285
2016-12-13,2952284,417932,670158,113538,362759,359458,56312
2016-12-20,2720965,365127,622395,116328,372954,356769,50613
2016-12-27,2760088,363362,614449,113715,378993,358573,50664
2017-01-03,2831064,394147,652009,116793,386021,360817,56349
2017-01-10,2868908,419173,675968,119276,381465,357251,51342
2017-01-17,2841988,416777,677479,122152,386759,406723,57213
2017-01-24,2839256,410204,676517,118145,393781,421899,50960
2017-01-31,2888128,432575,703259,119425,409011,427908,47981
2017-02-07,2909593,440989,707498,126635,417947,420078,60691
2017-02-14,2913801,477018,755874,128803,425274,432944,42606
2017-02-21,2727947,411332,702585,126434,436198,453030,39393
2017-02-28,2765071,410517,701712,133930,428447,435475,48768
2017-03-07,2803226,416686,710781,136750,427836,424549,48991
2017-03-14,3052948,475439,739736,160261,416427,386941,98167
2017-03-21,2880516,481477,727922,161475,408719,371404,110827
2017-03-28,2936189,474056,713377,172223,405841,361322,116707
2017-04-04,2970177,449554,684351,172488,395024,369762,102732
2017-04-11,3011175,471625,684360,163896,414051,380195,70966
2017-04-18,2847928,446613,673274,157872,429868,386717,63353
2017-04-25,2917418,461574,678786,164827,430781,335252,79831
2017-05-02,2966080,463248,682115,181008,437763,312270,109166
2017-05-09,3117237,506595,706511,200338,411673,318815,150001
2017-05-16,3177034,522604,713228,199885,400743,322879,161585
2017-05-23,2873285,491358,671966,189363,404155,310397,117254
2017-05-30,2836230,475122,659918,179376,406166,307751,101648
2017-06-06,2890783,465823,661481,181558,415883,315299,94159
2017-06-13,2882169,458562,655755,194639,426106,319578,124280
2017-06-20,2743628,446814,629493,193205,427562,301476,166734
2017-06-27,2826528,460725,640929,202444,425631,314090,180484
2017-07-03,2898467,483721,662029,207095,411406,316447,166496
2017-07-11,2857567,485341,671018,189507,416842,309899,131245
2017-07-18,2786242,485738,685646,174529,419880,324027,108539
2017-07-25,2837880,457737,653294,172622,443942,323254,84753
2017-08-01,2971364,447859,640957,165273,499672,365737,83375
2017-08-08,2979860,428999,603288,161689,512153,365351,85242
2017-08-15,3059519,454725,632873,161742,509870,357455,83014
2017-08-22,2903728,434190,609893,162258,496599,343734,90760
